鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物)+車位,臺北市中正區汀州路二段61~90號,17.82,商,,,1081205,土地2建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060704,263.3,3,2,3,有,有,54780000,225442,坡道平面,31.4,2500000,,RPTOMLNJKHPFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路25巷1~30號,39.67,住,,,1081227,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080124,191.84,3,2,2,有,有,31000000,197038,坡道平面,44.66,2000000,,RPOPMLNJKHPFFAA27CA
中正區,房地(土地+建物),臺北市中正區?m門街61~90號,9.27,商,,,1081116,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071023,77.9,2,2,1,有,有,16080000,206418,,0.0,0,,RPPOMLOJKHPFFAA37CA
中正區,房地(土地+建物),臺北市中正區?m門街61~90號,7.89,商,,,1081101,土地2建物1車位0,二層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1071023,67.62,1,1,1,有,有,12500000,184857,,0.0,0,,RPQOMLOJKHPFFAA47CA
中正區,房地(土地+建物)+車位,臺北市中正區?m門街61~90號,11.73,商,,,1081109,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071023,131.82,2,1,2,有,有,22000000,201318,坡道平面,34.71,2450000,,RPSOMLOJKHPFFAA67CA
中正區,房地(土地+建物),臺北市中正區牯嶺街31~60號,36.0,住,,,1081219,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,,94.08,3,1,1,有,無,20000000,212585,,0.0,0,,RPOPMLOJKHPFFAA37CA
大同區,土地,圓環段一小段121~150地號,20.0,商,,,1090102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7800000,390000,,0.0,0,含增建建物或未辦理保存登記建物。,RPTPMLOKJHPFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路一段91~120號,32.79,住,,,1081216,土地1建物1車位4,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031107,338.91,3,2,2,有,有,52800000,155794,坡道平面,0.0,0,,RPUPMLNKJHPFFBA97CA
大同區,房地(土地+建物)+車位,臺北市大同區民權西路211~240號,13.73,其他,,,1081218,土地3建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,184.62,3,2,2,有,有,35500000,225786,坡道平面,39.35,2700000,,RPQPMLRKJHPFFBA97CA
中正區,房地(土地+建物),臺北市中正區忠孝東路一段151~180號,5.01,商,,,1081207,土地1建物1車位0,三層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1080807,51.47,1,1,1,有,有,16250000,315718,,0.0,0,,RPPPMLOJKHPFFBA57CA
大同區,房地(土地+建物),臺北市大同區鄭州路29巷1~30號,21.86,商,,,1081204,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0680425,82.15,1,1,1,有,無,13000000,158247,,0.0,0,,RPQNMLKKKHPFFBA17CA
大同區,房地(土地+建物),臺北市大同區鄭州路29巷1~30號,43.82,商,,,1081204,土地2建物2車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0680425,164.3,1,1,2,有,無,35000000,213025,,0.0,0,一樓為1衛無隔間、二樓為1房1廳1衛,RPRNMLTKKHPFFBA18CA
中山區,房地(土地+建物),臺北市中山區天祥路61~90號,6.63,商,,,1081115,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,70.09,4,2,1,有,有,17580000,250820,,0.0,0,含增建或未登記建物。;,RPPPMLOKJHPFFCA67CA
中山區,房地(土地+建物),臺北市中山區樂群二路151~180號,47.09,住,,,1081210,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.69,3,2,2,有,有,25800000,165714,,0.0,0,含增建或未登記建物。;,RPROMLPKJHPFFCA87CA
內湖區,房地(土地+建物),臺北市內湖區東湖路121~150號,43.43,住,,,1081123,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730511,135.83,4,2,2,有,無,15800000,116322,,0.0,0,含增建或未登記建物。;,RPQRMLPKJHPFFCA08CA
中山區,房地(土地+建物),臺北市中山區復興北路481~510號,7.7,住,,,1081212,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720905,51.919999999999995,1,1,1,有,有,9100000,175270,,0.0,0,,RPWSMLPKJHPFFCA78CA
中山區,房地(土地+建物),臺北市中山區德惠街31~60號,3.0,商,,,1081214,土地1建物1車位0,五層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681215,27.42,1,1,1,有,有,4500000,164114,,0.0,0,,RPWOMLQKJHPFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區林森北路451~480號,9.84,商,,,1081127,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981106,126.59,2,1,1,有,有,21020000,166048,坡道平面,0.0,0,含增建或未登記建物。;,RPSPMLQKJHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區林森北路353巷19弄1~30號,9.5,商,,,1090102,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0560826,23.38,1,1,1,有,無,2300000,98375,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVPMLRKJHPFFCA58CA
中山區,房地(土地+建物),臺北市中山區長安東路一段61~90號,16.69,商,,,1081211,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710924,96.84,3,1,2,有,無,15620000,161297,,0.0,0,含增建或未登記建物。;,RPWQMLRKJHPFFCA78CA
中山區,房地(土地+建物),臺北市中山區天祥路1~30號,14.23,住,,,1081205,土地2建物1車位0,五層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050914,76.38,1,1,1,有,有,20880000,273370,,0.0,0,,RPWSMLRKJHPFFCA98CA
中山區,房地(土地+建物),臺北市中山區八德路二段31~60號,46.0,住,,,1081108,土地2建物2車位0,一層，二層,二層,店面(店鋪),,磚造,,74.74,0,0,1,有,無,48000000,642226,,0.0,0,含增建或未登記建物。;,RPXOMLLLJHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區林森北路107巷1~30號,46.78,商,,,1081028,土地1建物10車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711115,289.81,10,0,10,有,無,41000000,141472,,0.0,0,含增建或未登記建物。;,RPTPMLMLJHPFFCA97CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路321巷10弄1~30號,45.59,工,,,1081115,土地1建物2車位1,三層,五層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0780829,161.47,3,2,2,有,有,7570000,46885,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLKMJHPFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區安康路331~360號,24.76,住,,,1081120,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0930611,116.22,0,0,0,無,有,17600000,151437,坡道平面,0.0,0,,RPXOMLKMJHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區中山北路三段31~60號,108.43,商,,,1081122,土地2建物1車位0,二層，陽台,七層,辦公商業大樓,商業用,鋼筋混凝土造,0620831,626.66,0,0,0,無,有,106880000,170555,,0.0,0,,RPORMLLMJHPFFCA67CA
中山區,房地(土地+建物),臺北市中山區長安東路一段56巷7弄1~30號,35.5,商,,,1081216,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600201,96.4,3,2,1,有,無,13006000,134917,,0.0,0,現況交屋，整修整理等費用由買方自行處理。,RPTOMLOJKHPFFCA97CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段1~30號,33.87,住,,,1080831,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418,217.28,4,2,2,有,無,41080000,189065,坡道平面,38.92,0,,RPQQMLNJKHPFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段1~30號,38.23,住,,,1081214,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418,235.63,4,2,3,有,無,43500000,184611,坡道平面,34.2,0,,RPRQMLNJKHPFFCA87CA
中山區,房地(土地+建物),臺北市中山區新生北路二段31~60號,3.05,商,,,1081212,土地1建物1車位0,八層,十七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850718,35.370000000000005,1,1,1,有,有,6800000,192253,,0.0,0,,RPQRMLRJKHPFFCA28CA
松山區,房地(土地+建物),臺北市松山區新東街12巷1~30號,42.62,住,,,1081215,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.75,5,2,1,有,無,24100000,232289,,0.0,0,含增建或未登記建物。;,RPOPMLOKJHPFFDA67CA
南港區,房地(土地+建物),臺北市南港區重陽路166巷4弄1~30號,42.75,住,,,1081225,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,61.18,2,2,2,有,無,9200000,150376,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWPMLOKJHPFFDA48CA
松山區,房地(土地+建物),臺北市松山區南京東路五段31~60號,9.58,其他,,,1081224,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690207,94.75999999999999,2,2,1,有,有,22100000,233221,,0.0,0,,RPPQMLOKJHPFFDA87CA
南港區,房地(土地+建物),臺北市南港區福德街301~330號,16.12,住,,,1081226,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620112,42.74,3,1,1,有,無,7300000,170800,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLOKJHPFFDA57CA
信義區,房地(土地+建物),臺北市信義區虎林街222巷1~30號,30.0,住,,,1081211,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,102.34,3,2,2,有,無,17900000,174907,,0.0,0,含增建或未登記建物。;,RPXNMLOKJHPFFDA38CA
南港區,房地(土地+建物),臺北市南港區興中路68巷1~30號,16.2,商,,,1081216,土地1建物1車位0,一層,十七層,店面(店鋪),商業用,鋼筋混凝土造,0831216,138.41,0,1,1,有,有,28000000,202298,,0.0,0,,RPOOMLPKJHPFFDA67CA
松山區,房地(土地+建物),臺北市松山區健康路325巷18弄1~30號,34.72,住,,,1080915,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751020,111.03,3,2,2,有,無,19000000,171125,,0.0,0,含增建或未登記建物。;,RPOQMLPKJHPFFDA87CA
松山區,房地(土地+建物),臺北市松山區民生東路四段55巷1~30號,28.53,其他,,,1081217,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661220,147.04000000000002,4,2,2,有,有,33000000,224429,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPSOMLQKJHPFFDA18CA
信義區,房地(土地+建物)+車位,臺北市信義區信義路四段451~480號,90.44,商,,,1081226,土地1建物4車位4,四層,二十七層,辦公商業大樓,商業用,見使用執照,0861230,1200.35,0,0,0,無,有,330952538,275713,坡道平面,114.44,0,,RPXNMLRKJHPFFDA68CA
松山區,房地(土地+建物),臺北市松山區八德路四段17巷1~30號,19.37,住,,,1081207,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780410,144.1,4,2,2,有,有,32500000,225538,,0.0,0,含增建或未登記建物。;,RPQPMLRKJHPFFDA18CA
松山區,車位,臺北市松山區八德路二段331~360號,0.13,商,,,1081209,土地0建物0車位2,地下層,十二層,其他,見使用執照,鋼筋混凝土造,0750819,78.78,0,0,0,有,無,4400000,,升降平面,78.78,4400000,,RPPOMLKLJHPFFDA37CA
松山區,房地(土地+建物),臺北市松山區基隆路一段1~30號,10.28,商,,,1080818,土地2建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.57,3,2,2,有,有,11800000,111774,,0.0,0,親友、員工或其他特殊關係間之交易。;本案親屬間買賣,RPVOMLKLJHPFFDA97CA
信義區,房地(土地+建物),臺北市信義區松隆路61~90號,25.98,商,,,1081129,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700124,87.84,3,2,3,有,無,11000000,125228,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPORMLKLJHPFFDA57CA
信義區,房地(土地+建物),臺北市信義區松德路31~60號,11.98,住,,,1080926,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.96,3,2,2,有,無,8342381,95934,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLLLJHPFFDA18CA
信義區,房地(土地+建物),臺北市信義區信義路六段15巷1~30號,13.92,住,,,1081115,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630726,30.45,3,2,2,有,無,4400000,144499,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPXNMLMLJHPFFDA28CA
松山區,房地(土地+建物)+車位,臺北市松山區延壽街330巷8弄1~30號,7.73,住,,,1081029,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980320,28.21,3,2,2,有,有,6225000,220666,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPQMLKMJHPFFDA67CA
信義區,房地(土地+建物),臺北市信義區吳興街220巷73弄1~30號,23.81,住,,,1081120,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790424,60.95,3,2,2,有,無,8000000,131255,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLNJKHPFFDA97CA
松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,5.9,商,,,1081219,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0720915,62.5,3,2,2,有,有,4000000,64000,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLSJKHPFFDA97CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段372巷27弄1~30號,1.8,住,,,1090102,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,15.77,2,1,1,有,無,2200000,139505,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLKKKHPFFDA08CA
松山區,房地(土地+建物),臺北市松山區延吉街46巷1~30號,22.68,其他,,,1081224,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670330,122.26,2,2,2,有,有,32000000,261737,,0.0,0,,RPRQMLKKKHPFFDA77CA
士林區,土地,溪洲段一小段391~420地號,53.55,其他,,,1081217,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2588800,48344,,0.0,0,,RPRPMLNKJHPFFEA97CA
北投區,土地,關渡段一小段91~120地號,43.02,其他,,,1090107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,390000,9066,,0.0,0,包含公共設施保留地之交易。;,RPRQMLNKJHPFFEA08CA
士林區,房地(土地+建物),臺北市士林區文林路740巷9弄1~30號,37.25,住,,,1081104,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651014,104.88,3,2,2,有,無,17500000,166857,,0.0,0,含增建或未登記建物。;,RPROMLOKJHPFFEA97CA
北投區,土地,奇岩段一小段61~90地號,35.0,住,,,1090102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,71429,,0.0,0,,RPVQMLOKJHPFFEA58CA
士林區,房地(土地+建物),臺北市士林區德行東路132巷3弄1~30號,33.12,住,,,1081121,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710428,82.41,3,2,2,有,無,13400000,162602,,0.0,0,含增建或未登記建物。;,RPOTMLOKJHPFFEA18CA
北投區,房地(土地+建物),臺北市北投區溫泉路37巷1~30號,8.63,住,,,1081212,土地2建物1車位0,十二層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941111,43.92,1,1,1,有,有,5850000,133197,,0.0,0,含增建或未登記建物。;,RPQOMLPKJHPFFEA97CA
北投區,房地(土地+建物),臺北市北投區東華街一段400巷1~30號,45.75,住,,,1081106,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610427,121.02,3,1,1,有,無,23000000,190051,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLPKJHPFFEA87CA
北投區,房地(土地+建物),臺北市北投區懷德街98巷1~30號,22.75,住,,,1081106,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0611120,66.42,2,1,1,有,無,9000000,135501,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPPPMLPKJHPFFEA97CA
士林區,房地(土地+建物)+車位,臺北市士林區承德路四段301~330號,20.66,住,,,1081130,土地2建物1車位3,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011109,255.54,3,2,2,有,有,42800000,167488,坡道平面,85.67,0,含增建或未登記建物。;,RPWNMLQKJHPFFEA58CA
士林區,房地(土地+建物)+車位,臺北市士林區延平北路六段331~360號,18.3,住,,,1081218,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050805,162.87,3,2,2,有,有,17000000,104378,升降平面,32.12,0,,RPPNMLKMJHPFFEA47CA
北投區,房地(土地+建物),臺北市北投區榮華二路1~30號,30.07,住,,,1081208,土地2建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690430,161.63,4,2,2,有,有,26680000,165068,,0.0,0,,RPWNMLKKKHPFFEA08CA
北投區,土地,溫泉段二小段421~450地號,115.81,住,,,1081223,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40000000,345393,,0.0,0,,RPWNMLMKKHPFFEA28CA
大安區,房地(土地+建物),臺北市大安區忠孝東路四段211~240號,21.85,商,,,1081213,土地4建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.36,4,2,3,有,有,51680000,239970,,0.0,0,,RPSNMLPKJHPFFFA18CA
大安區,房地(土地+建物)+車位,臺北市大安區樂利路21巷1~30號,49.18,住,,,1081101,土地2建物1車位2,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841213,167.66,4,2,2,有,有,40000000,238578,升降機械,0.0,0,含增建或未登記建物。;,RPPNMLOKJHPFFFA77CA
大安區,車位,臺北市大安區和平東路二段331~360號,2.04,商,,,1081226,土地0建物0車位1,地下二層,十二層,其他,停車空間,鋼筋混凝土造,0801209,16.9,0,0,0,有,有,1850000,,升降平面,16.9,1850000,單獨車位交易。;,RPPNMLSKJHPFFFA18CA
大安區,房地(土地+建物)+車位,臺北市大安區敦南街61~90號,61.4,住,,,1081118,土地1建物1車位3,六層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005,529.31,4,2,4,有,有,165880000,313389,坡道平面,88.8,0,,RPWNMLRJKHPFFFA78CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.16,住,,,1081209,土地4建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,176.17,3,2,2,有,有,48200000,346463,坡道平面,45.42,2900000,土地及建物分次登記案件。前案土地登記收件字號：;,RPPOMLKKKHPFFFA57CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.29,住,,,1081123,土地4建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,177.0,3,2,2,有,有,53600000,383768,坡道平面,45.42,3100000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTOMLKKKHPFFFA97CA
大安區,房地(土地+建物),臺北市大安區金山南路二段181~210號,20.16,住,,,1081123,土地4建物1車位0,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,130.75,3,2,2,有,有,45000000,344168,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPVOMLKKKHPFFFA18CA
大安區,房地(土地+建物),臺北市大安區信義路四段241~270號,24.62,商,,,1081230,土地1建物2車位0,地下一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,306.05,0,0,0,無,無,125000000,408430,,0.0,0,,RPPQMLKKKHPFFFA77CA
文山區,房地(土地+建物)+車位,臺北市文山區福興路61~90號,18.58,其他,,,1081205,土地3建物1車位1,三層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841030,145.38,3,2,1,有,有,16880000,148222,坡道平面,44.99,2000000,,RPXNMLKLJHPFFAA87DA
文山區,車位,臺北市文山區辛亥路四段77巷1~30號,0.21,住,,,1081220,土地0建物0車位1,一層,十層,其他,商業用,鋼筋混凝土造,0870731,32.55,0,0,0,有,有,1600000,,坡道平面,32.55,1600000,單獨車位交易。;,RPQOMLKLJHPFFAA27DA
文山區,車位,臺北市文山區辛亥路四段77巷1~30號,0.21,住,,,1081220,土地0建物0車位1,一層,十層,其他,商業用,鋼筋混凝土造,0870731,32.55,0,0,0,有,有,1600000,,坡道平面,32.55,1600000,單獨車位交易。;,SPQOMLKLJHPFFAA37DA
文山區,房地(土地+建物),臺北市文山區辛亥路四段77巷92弄1~30號,36.24,住,,,1081214,土地3建物1車位0,十層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920922,54.39,1,1,1,有,有,8350000,153521,,0.0,0,,RPUNMLLLJHPFFAA67DA
大同區,房地(土地+建物)+車位,臺北市大同區昌吉街31~60號,29.87,住,,,1081130,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010112,284.43,3,2,2,有,有,47000000,165243,坡道平面,0.0,5000000,含增建或未登記建物。,RPUNMLTKJHPFFBA48DA
萬華區,房地(土地+建物),臺北市萬華區昆明街31~60號,9.98,商,,,1081224,土地1建物1車位0,八層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0761221,58.29,1,1,1,有,有,9300000,159547,,0.0,0,,RPWNMLKLJHPFFBA87DA
內湖區,房地(土地+建物),臺北市內湖區港墘路1~30號,27.15,住,,,1081207,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721004,98.56,3,2,2,有,無,14650000,148640,,0.0,0,,RPTNMLSKJHPFFCA38DA
內湖區,車位,臺北市內湖區金龍路222巷2至1~30號,10.04,住,,,1081213,土地0建物0車位1,地下二層,十二層,其他,見使用執照,鋼筋混凝土造,0821213,32.54,0,0,0,有,有,2000000,,坡道平面,32.54,2000000,單獨車位交易。;,RPPNMLTKJHPFFCA08DA
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路301~330號,37.22,住,,,1081212,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0910204,218.38,4,2,2,有,有,41800000,221521,坡道平面,40.97,2500000,含增建或未登記建物。,RPSNMLTKJHPFFCA38DA
